RestaurantID,RestaurantName,CountryCode,City,Cuisines,Currency,Has_Table_booking,Has_Online_delivery,Is_delivering_now,Price_range,Votes,Average_Cost_for_two,Rating,cost_per_person,cost_category,num_cuisines,primary_cuisines,Rating_Bucket,log_votes,popularity_score,Value-for-money,city_competition,city_competition_norm
17316038,Irish Democrat,216,Cedar Rapids/Iowa City,American| BBQ| Burger,Dollar($),,,No,2,430,25,4.4,12.5,Low,1,American| BBQ| Burger,Good,6.066108090103747,1892.0000000000002,1.352,20,0.0036543029417138682
17316771,Taste of India,216,Cedar Rapids/Iowa City,Indian,Dollar($),,,No,2,186,25,4.2,12.5,Low,1,Indian,Good,5.231108616854587,781.2,1.336,20,0.0036543029417138682
17316201,Thai Moon Restaurant,216,Cedar Rapids/Iowa City,Chinese| Sushi| Thai,Dollar($),,,No,1,220,10,4.2,5.0,Low,1,Chinese| Sushi| Thai,Good,5.3981627015177525,924.0,1.84,20,0.0036543029417138682
17316208,Ting's Red Lantern,216,Cedar Rapids/Iowa City,Chinese,Dollar($),,,No,1,347,10,4.2,5.0,Low,1,Chinese,Good,5.8522024797744745,1457.4,1.84,20,0.0036543029417138682
17316389,Monica's,216,Cedar Rapids/Iowa City,American| Italian| Pizza,Dollar($),,,No,2,161,25,3.8,12.5,Low,1,American| Italian| Pizza,Good,5.087596335232384,611.8,1.304,20,0.0036543029417138682
17316278,Exotic India,216,Cedar Rapids/Iowa City,Indian,Dollar($),,,No,2,160,25,4.1,12.5,Low,1,Indian,Good,5.081404364984463,656.0,1.3279999999999998,20,0.0036543029417138682
17316744,Shorts Burger and Shine,216,Cedar Rapids/Iowa City,Burger,Dollar($),,,No,1,820,10,4.9,5.0,Low,1,Burger,Excellent,6.710523109452428,4018.0000000000005,1.98,20,0.0036543029417138682
17316751,The Hamburg Inn No. 2 Inc.,216,Cedar Rapids/Iowa City,American| Breakfast| Burger,Dollar($),,,No,1,488,10,4.5,5.0,Low,1,American| Breakfast| Burger,Good,6.192362489474872,2196.0,1.9,20,0.0036543029417138682
17316766,Bluebird Diner,216,Cedar Rapids/Iowa City,Breakfast| Diner,Dollar($),,,No,2,253,25,3.6,12.5,Low,1,Breakfast| Diner,Good,5.537334267018537,910.8000000000001,1.288,20,0.0036543029417138682
17316743,Graze,216,Cedar Rapids/Iowa City,American| International| Sushi,Dollar($),,,No,3,220,40,3.8,20.0,Low,1,American| International| Sushi,Good,5.3981627015177525,836.0,1.19,20,0.0036543029417138682
